source,target,cosine_similarity
0,8,0.999699
0,24,0.99945
0,43,0.999
0,21,0.998081
0,44,0.997975
1,17,0.999796
1,34,0.999757
1,35,0.998759
1,45,0.998745
1,31,0.99722
2,32,0.999918
2,9,0.999791
2,25,0.99923
2,22,0.998977
2,40,0.998816
3,37,0.992831
3,15,0.985607
3,46,0.978796
3,47,0.975391
3,16,0.974157
4,38,0.999775
4,22,0.999158
4,25,0.998678
4,9,0.998384
4,2,0.997983
5,31,0.999798
5,49,0.999012
5,36,0.997587
5,17,0.997266
5,34,0.997231
6,20,0.998733
6,33,0.996276
6,39,0.995991
6,12,0.995833
6,14,0.995734
7,19,0.999948
7,27,0.999842
7,35,0.99957
7,26,0.998693
7,17,0.997639
8,24,0.999792
8,0,0.999699
8,21,0.999072
8,44,0.998824
8,43,0.997923
9,2,0.999791
9,25,0.99979
9,32,0.999493
9,38,0.998837
9,40,0.998766
10,30,0.999952
10,29,0.998407
10,47,0.996077
10,38,0.995871
10,40,0.995434
11,13,0.994854
11,41,0.994631
11,44,0.99314
11,21,0.993107
11,1,0.992521
12,33,0.997835
12,43,0.997706
12,0,0.997045
12,24,0.996656
12,26,0.996621
13,44,0.999599
13,21,0.999294
13,35,0.997909
13,1,0.997153
13,17,0.997135
14,39,0.999902
14,36,0.999423
14,20,0.999022
14,49,0.998321
14,27,0.995811
15,47,0.997806
15,16,0.99519
15,37,0.994676
15,30,0.990689
15,10,0.989862
16,15,0.99519
16,47,0.992584
16,37,0.992251
16,12,0.986199
16,43,0.98509
17,34,0.999983
17,1,0.999796
17,45,0.999081
17,35,0.999081
17,7,0.997639
18,28,0.999791
18,22,0.999484
18,48,0.998854
18,32,0.998754
18,2,0.998496
19,27,0.999966
19,7,0.999948
19,35,0.999293
19,26,0.999019
19,33,0.997816
20,39,0.999225
20,14,0.999022
20,6,0.998733
20,36,0.997373
20,26,0.996432
21,44,0.999929
21,13,0.999294
21,8,0.999072
21,24,0.998248
21,0,0.998081
22,38,0.999509
22,18,0.999484
22,4,0.999158
22,28,0.99902
22,2,0.998977
23,42,0.999002
23,45,0.99538
23,31,0.995276
23,5,0.993526
23,34,0.992301
24,8,0.999792
24,0,0.99945
24,43,0.998265
24,21,0.998248
24,22,0.998034
25,9,0.99979
25,2,0.99923
25,38,0.998893
25,4,0.998678
25,32,0.99867
26,33,0.99972
26,19,0.999019
26,27,0.999017
26,7,0.998693
26,35,0.996766
27,19,0.999966
27,7,0.999842
27,35,0.999119
27,26,0.999017
27,33,0.997736
28,18,0.999791
28,22,0.99902
28,48,0.998671
28,32,0.998598
28,2,0.998131
29,25,0.998477
29,10,0.998407
29,9,0.998155
29,30,0.998085
29,40,0.997796
30,10,0.999952
30,29,0.998085
30,47,0.996355
30,38,0.995024
30,40,0.994595
31,5,0.999798
31,49,0.997924
31,34,0.997356
31,17,0.997311
31,1,0.99722
32,2,0.999918
32,9,0.999493
32,48,0.999068
32,40,0.999
32,22,0.99888
33,26,0.99972
33,12,0.997835
33,19,0.997816
33,27,0.997736
33,7,0.997451
34,17,0.999983
34,1,0.999757
34,45,0.999312
34,35,0.99883
34,31,0.997356
35,7,0.99957
35,19,0.999293
35,27,0.999119
35,17,0.999081
35,34,0.99883
36,49,0.999566
36,14,0.999423
36,39,0.998871
36,5,0.997587
36,20,0.997373
37,15,0.994676
37,3,0.992831
37,16,0.992251
37,47,0.989019
37,30,0.977273
38,4,0.999775
38,22,0.999509
38,25,0.998893
38,9,0.998837
38,2,0.998436
39,14,0.999902
39,20,0.999225
39,36,0.998871
39,49,0.997418
39,6,0.995991
40,32,0.999
40,2,0.998816
40,9,0.998766
40,25,0.9978
40,29,0.997796
41,48,0.999375
41,18,0.99755
41,28,0.997299
41,32,0.99692
41,2,0.996279
42,23,0.999002
42,31,0.996864
42,45,0.996303
42,5,0.995978
42,34,0.994039
43,0,0.999
43,24,0.998265
43,4,0.997948
43,8,0.997923
43,12,0.997706
44,21,0.999929
44,13,0.999599
44,8,0.998824
44,0,0.997975
44,24,0.997778
45,34,0.999312
45,17,0.999081
45,1,0.998745
45,31,0.996859
45,35,0.996402
46,30,0.993571
46,10,0.992591
46,29,0.989608
46,47,0.987265
46,15,0.98559
47,15,0.997806
47,30,0.996355
47,10,0.996077
47,43,0.993052
47,16,0.992584
48,41,0.999375
48,32,0.999068
48,18,0.998854
48,28,0.998671
48,2,0.998666
49,36,0.999566
49,5,0.999012
49,14,0.998321
49,31,0.997924
49,39,0.997418
